Lineage	Gene
Arthropoda	87142at6656
Arthropoda	85509at6656
Arthropoda	19208at6656
Arthropoda	136224at6656
Arthropoda	109562at6656
Arthropoda	31615at6656
Arthropoda	134853at6656
Arthropoda	101531at6656
Arthropoda	60750at6656
Arthropoda	118761at6656
Arthropoda	87139at6656
Arthropoda	114738at6656
Arthropoda	93797at6656
Arthropoda	81703at6656
Arthropoda	147723at6656
Arthropoda	48657at6656
Arthropoda	129200at6656
Arthropoda	57605at6656
Arthropoda	43236at6656
Arthropoda	94054at6656
Arthropoda	151393at6656
Arthropoda	34917at6656
Arthropoda	84097at6656
Arthropoda	111236at6656
Arthropoda	86488at6656
Arthropoda	94476at6656
Arthropoda	67166at6656
Arthropoda	73084at6656
Arthropoda	152032at6656
Arthropoda	133422at6656
Arthropoda	141031at6656
Arthropoda	99270at6656
Arthropoda	61096at6656
Arthropoda	104898at6656
Arthropoda	90322at6656
Arthropoda	76745at6656
Arthropoda	30156at6656
Arthropoda	164512at6656
Arthropoda	104595at6656
Arthropoda	78968at6656
Arthropoda	20935at6656
Arthropoda	74384at6656
Arthropoda	150251at6656
Arthropoda	30184at6656
Arthropoda	52643at6656
Arthropoda	98845at6656
Arthropoda	131720at6656
Arthropoda	116401at6656
Arthropoda	145443at6656
Arthropoda	5616at6656
Arthropoda	135975at6656
Arthropoda	40213at6656
Arthropoda	103914at6656
Arthropoda	40399at6656
Arthropoda	112759at6656
Arthropoda	31820at6656
Arthropoda	61081at6656
Arthropoda	39548at6656
Arthropoda	86262at6656
Arthropoda	62914at6656
Arthropoda	5277at6656
Arthropoda	61612at6656
Arthropoda	98948at6656
Arthropoda	124707at6656
Arthropoda	135123at6656
Arthropoda	40240at6656
Arthropoda	138243at6656
Arthropoda	87933at6656
Arthropoda	156975at6656
Arthropoda	3310at6656
Arthropoda	105000at6656
Arthropoda	87527at6656
Arthropoda	13858at6656
Arthropoda	162059at6656
Arthropoda	15697at6656
Arthropoda	160705at6656
Arthropoda	121558at6656
Arthropoda	136888at6656
Arthropoda	143489at6656
Arthropoda	100216at6656
Arthropoda	87910at6656
Arthropoda	114463at6656
Arthropoda	93535at6656
Arthropoda	147852at6656
Arthropoda	111545at6656
Arthropoda	96592at6656
Arthropoda	63228at6656
Arthropoda	146920at6656
Arthropoda	71018at6656
Arthropoda	87695at6656
Arthropoda	73455at6656
Arthropoda	55260at6656
Arthropoda	157579at6656
Arthropoda	30918at6656
Arthropoda	90600at6656
Arthropoda	77770at6656
Arthropoda	22098at6656
Arthropoda	125234at6656
Arthropoda	8145at6656
Arthropoda	39506at6656
